tau_max,precision,recall,f1,tpr,fpr,youden_j
0.05,0.4834656084656085,0.8947368421052632,0.6277372262773723,0.8947368421051536,0.9559363525090628,-0.06119951040390925
0.060000000000000005,0.4894342194955692,0.8788249694002448,0.6287215411558669,0.8788249694001372,0.9167686658505609,-0.037943696450423725
0.07,0.49164345403899723,0.8641370869033048,0.6267199289835774,0.8641370869031989,0.8935128518970754,-0.029375764993876508
0.08000000000000002,0.49715099715099714,0.8543451652386781,0.6285457001350743,0.8543451652385735,0.8641370869031989,-0.009791921664625391
0.09000000000000001,0.5010989010989011,0.8372093023255814,0.6269477543538039,0.8372093023254789,0.8335373317012443,0.003671970624234522
0.1,0.5079726651480638,0.8188494492044064,0.626991565135895,0.8188494492043061,0.7931456548346641,0.025703794369641986
0.11000000000000001,0.5120999219359875,0.802937576499388,0.6253574833174452,0.8029375764992897,0.7649938800488659,0.037943696450423725
0.12000000000000002,0.5153473344103393,0.780905752753978,0.6209245742092457,0.7809057527538823,0.7343941248469112,0.046511627906971054
0.13,0.5184563758389261,0.7564259485924113,0.6152314584370333,0.7564259485923186,0.7025703794368785,0.0538555691554401
0.14,0.52414398595259,0.7307221542227662,0.6104294478527608,0.7307221542226767,0.6634026927783765,0.06731946144430023
0.15000000000000002,0.5319926873857403,0.7123623011015912,0.609105180533752,0.712362301101504,0.6266829865360309,0.08567931456547306
0.16000000000000003,0.5423406279733587,0.6976744186046512,0.6102783725910065,0.6976744186045657,0.5887392900856072,0.10893512851895848
0.17000000000000004,0.5472636815920398,0.6731946144430845,0.6037321624588364,0.673194614443002,0.5569155446755744,0.11627906976742763
0.18000000000000002,0.5444214876033058,0.6450428396572827,0.5904761904761905,0.6450428396572038,0.5397796817624798,0.10526315789472396
0.19000000000000003,0.5474137931034483,0.6217870257037944,0.5822349570200573,0.6217870257037182,0.5140758873928379,0.1077111383108803
0.20000000000000004,0.5511363636363636,0.5936352509179926,0.5715969357690042,0.5936352509179199,0.48347613219088326,0.11015911872703665
0.21000000000000002,0.5518867924528302,0.572827417380661,0.5621621621621622,0.5728274173805908,0.4651162790697105,0.10771113831088036
0.22000000000000003,0.5532435740514076,0.5532435740514076,0.5532435740514076,0.5532435740513398,0.4467564259485377,0.10648714810280213
0.23000000000000004,0.5485933503836317,0.5250917992656059,0.5365853658536586,0.5250917992655416,0.43206854345159945,0.09302325581394216
0.24000000000000005,0.5531914893617021,0.5091799265605875,0.5302740599107711,0.5091799265605251,0.41126070991427033,0.0979192166462548
0.25000000000000006,0.5557083906464925,0.4944920440636475,0.5233160621761658,0.49449204406358693,0.3953488372092539,0.09914320685433303
0.26000000000000006,0.5569620253164557,0.4847001223990208,0.518324607329843,0.48470012239896143,0.38555691554462845,0.09914320685433298
0.27,0.56047197640118,0.46511627906976744,0.5083612040133779,0.4651162790697105,0.3647490820072993,0.1003671970624112
0.28,0.560790273556231,0.45165238678090575,0.5003389830508475,0.45165238678085046,0.3537331701345956,0.09791921664625486
0.29000000000000004,0.5596184419713831,0.43084455324357407,0.48686030428769017,0.4308445532435213,0.3390452876376574,0.09179926560586388
0.30000000000000004,0.5535117056856187,0.40514075887392903,0.4678445229681979,0.4051407588738794,0.32680538555687555,0.07833537331700385
0.31000000000000005,0.5553633217993079,0.3929008567931457,0.46021505376344085,0.39290085679309755,0.3145654834760937,0.07833537331700385
0.32000000000000006,0.5551537070524413,0.37576499388004897,0.4481751824817518,0.37576499388000295,0.3011015911872336,0.07466340269276933
0.33000000000000007,0.5570093457943925,0.36474908200734396,0.4408284023668639,0.3647490820072993,0.29008567931452994,0.07466340269276933
0.3400000000000001,0.5549132947976878,0.3525091799265606,0.4311377245508982,0.3525091799265174,0.28274173806606084,0.06976744186045658
0.3500000000000001,0.5531062124248497,0.3378212974296206,0.4194528875379939,0.33782129742957917,0.27294981640143534,0.06487148102814383
0.36000000000000004,0.55741127348643,0.3268053855569155,0.41203703703703703,0.32680538555687555,0.2594859241125753,0.06731946144430023
0.37000000000000005,0.5531914893617021,0.3182374541003672,0.40404040404040403,0.3182374541003282,0.25703794369641897,0.06119951040390925
0.38000000000000006,0.5545851528384279,0.3108935128518972,0.3984313725490196,0.3108935128518591,0.24969400244794984,0.06119951040390928
0.39000000000000007,0.549889135254989,0.30354957160342716,0.3911671924290221,0.30354957160339,0.24847001223987167,0.055079559363518354
0.4000000000000001,0.551487414187643,0.29498164014687883,0.3843700159489633,0.2949816401468427,0.23990208078332437,0.05507955936351833
0.4100000000000001,0.5456674473067916,0.28518971848225216,0.3745980707395498,0.28518971848221725,0.237454100367168,0.047735618115049255
0.4200000000000001,0.5467625899280576,0.27906976744186046,0.3695299837925446,0.27906976744182627,0.23133414932677707,0.0477356181150492
0.43000000000000005,0.5441176470588235,0.2717258261933905,0.36244897959183675,0.27172582619335717,0.2276621787025425,0.04406364749081468
0.44000000000000006,0.5388471177944862,0.2631578947368421,0.3536184210526316,0.2631578947368099,0.22521419828638614,0.03794369645042375
0.45000000000000007,0.5384615384615384,0.25703794369645044,0.347970173985087,0.25703794369641897,0.2203182374540734,0.03671970624234558
0.4600000000000001,0.5366492146596858,0.25091799265605874,0.3419516263552961,0.25091799265602804,0.21664626682983884,0.0342717258261892
0.4700000000000001,0.5376344086021505,0.24479804161566707,0.33641715727502103,0.2447980416156371,0.21052631578944792,0.034271725826189176
0.4800000000000001,0.5315068493150685,0.23745410036719705,0.32825719120135366,0.237454100367168,0.2093023255813697,0.028151774785798278
0.4900000000000001,0.5352112676056338,0.23255813953488372,0.3242320819112628,0.23255813953485524,0.20195838433290061,0.030599755201954626
0.5000000000000001,0.5333333333333333,0.2252141982864137,0.31669535283993117,0.22521419828638614,0.19706242350058786,0.028151774785798278
0.5100000000000001,0.5325443786982249,0.22031823745410037,0.3116883116883117,0.2203182374540734,0.1933904528763533,0.026927784577720076
0.5200000000000001,0.5317220543806647,0.21542227662178703,0.30662020905923343,0.21542227662176064,0.18971848225211876,0.025703794369641875
0.5300000000000001,0.5319148936170213,0.2141982864137087,0.3054101221640489,0.21419828641368246,0.18849449204404056,0.025703794369641902
0.5400000000000001,0.5323076923076923,0.211750305997552,0.30297723292469353,0.2117503059975261,0.1860465116278842,0.025703794369641902
