threshold,precision,recall,f1,tpr,fpr,youden_j
0.35246915,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.35618553,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.35990188,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.36361825,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.36733463,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.371051,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.37476736,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.37848374,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.38220012,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.3859165,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.38963285,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.39334923,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.3970656,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.400782,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.40449834,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.40821472,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.4119311,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.41564745,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.41936383,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.4230802,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.4267966,0.5172413793103449,1.0,0.6818181818181818,0.9999999999996667,0.9333333333330223,0.06666666666664445
0.43051296,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4342293,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4379457,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.44166207,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.44537842,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4490948,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.45281118,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.45652753,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4602439,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4639603,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.46767667,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.47139305,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4751094,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.47882578,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.48254216,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4862585,0.5357142857142857,1.0,0.6976744186046512,0.9999999999996667,0.8666666666663778,0.1333333333332889
0.4899749,0.5555555555555556,1.0,0.7142857142857143,0.9999999999996667,0.7999999999997334,0.19999999999993334
0.49369127,0.5769230769230769,1.0,0.7317073170731707,0.9999999999996667,0.7333333333330889,0.2666666666665778
0.49740762,0.5769230769230769,1.0,0.7317073170731707,0.9999999999996667,0.7333333333330889,0.2666666666665778
0.501124,0.6,1.0,0.75,0.9999999999996667,0.6666666666664445,0.33333333333322224
0.5048404,0.6,1.0,0.75,0.9999999999996667,0.6666666666664445,0.33333333333322224
0.5085567,0.6,1.0,0.75,0.9999999999996667,0.6666666666664445,0.33333333333322224
0.51227313,0.6,1.0,0.75,0.9999999999996667,0.6666666666664445,0.33333333333322224
0.5159895,0.6,1.0,0.75,0.9999999999996667,0.6666666666664445,0.33333333333322224
0.5197059,0.625,1.0,0.7692307692307693,0.9999999999996667,0.5999999999998,0.3999999999998667
0.52342224,0.625,1.0,0.7692307692307693,0.9999999999996667,0.5999999999998,0.3999999999998667
0.5271386,0.625,1.0,0.7692307692307693,0.9999999999996667,0.5999999999998,0.3999999999998667
0.53085494,0.625,1.0,0.7692307692307693,0.9999999999996667,0.5999999999998,0.3999999999998667
0.53457135,0.625,1.0,0.7692307692307693,0.9999999999996667,0.5999999999998,0.3999999999998667
0.5382877,0.6521739130434783,1.0,0.7894736842105263,0.9999999999996667,0.5333333333331556,0.46666666666651113
0.5420041,0.6521739130434783,1.0,0.7894736842105263,0.9999999999996667,0.5333333333331556,0.46666666666651113
0.54572046,0.6521739130434783,1.0,0.7894736842105263,0.9999999999996667,0.5333333333331556,0.46666666666651113
0.5494368,0.6818181818181818,1.0,0.8108108108108109,0.9999999999996667,0.46666666666651113,0.5333333333331556
0.5531532,0.6818181818181818,1.0,0.8108108108108109,0.9999999999996667,0.46666666666651113,0.5333333333331556
0.55686957,0.6818181818181818,1.0,0.8108108108108109,0.9999999999996667,0.46666666666651113,0.5333333333331556
0.560586,0.6818181818181818,1.0,0.8108108108108109,0.9999999999996667,0.46666666666651113,0.5333333333331556
0.5643023,0.7142857142857143,1.0,0.8333333333333334,0.9999999999996667,0.3999999999998667,0.5999999999998
0.5680187,0.7142857142857143,1.0,0.8333333333333334,0.9999999999996667,0.3999999999998667,0.5999999999998
0.5717351,0.7142857142857143,1.0,0.8333333333333334,0.9999999999996667,0.3999999999998667,0.5999999999998
0.57545143,0.7142857142857143,1.0,0.8333333333333334,0.9999999999996667,0.3999999999998667,0.5999999999998
0.57916784,0.7142857142857143,1.0,0.8333333333333334,0.9999999999996667,0.3999999999998667,0.5999999999998
0.5828842,0.75,1.0,0.8571428571428571,0.9999999999996667,0.33333333333322224,0.6666666666664445
0.58660054,0.75,1.0,0.8571428571428571,0.9999999999996667,0.33333333333322224,0.6666666666664445
0.5903169,0.75,1.0,0.8571428571428571,0.9999999999996667,0.33333333333322224,0.6666666666664445
0.5940333,0.75,1.0,0.8571428571428571,0.9999999999996667,0.33333333333322224,0.6666666666664445
0.59774965,0.75,1.0,0.8571428571428571,0.9999999999996667,0.33333333333322224,0.6666666666664445
0.60146606,0.7894736842105263,1.0,0.8823529411764706,0.9999999999996667,0.2666666666665778,0.7333333333330889
0.6051824,0.7894736842105263,1.0,0.8823529411764706,0.9999999999996667,0.2666666666665778,0.7333333333330889
0.60889876,0.7894736842105263,1.0,0.8823529411764706,0.9999999999996667,0.2666666666665778,0.7333333333330889
0.6126151,0.7894736842105263,1.0,0.8823529411764706,0.9999999999996667,0.2666666666665778,0.7333333333330889
0.6163315,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6200479,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6237643,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6274806,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.631197,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6349134,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6386298,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.64234614,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6460625,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.64977884,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6534952,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6572116,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.660928,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.66464436,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.6683607,0.8333333333333334,1.0,0.9090909090909091,0.9999999999996667,0.19999999999993334,0.7999999999997334
0.67207706,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.67579347,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.6795099,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.6832262,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.6869426,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.6906589,0.8823529411764706,1.0,0.9375,0.9999999999996667,0.1333333333332889,0.8666666666663778
0.69437534,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.6980917,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.7018081,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.70552444,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.7092408,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.71295714,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.71667355,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.72038996,0.9375,1.0,0.967741935483871,0.9999999999996667,0.06666666666664445,0.9333333333330223
0.7241063,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.72782266,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.731539,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7352554,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.73897177,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7426882,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7464045,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7501209,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7538372,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.75755364,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.76127005,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7649864,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.76870275,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7724191,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7761355,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.77985185,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.78356826,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7872846,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.79100096,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7947173,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.7984337,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.80215013,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.8058665,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.8095828,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.8132992,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.8170156,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.820732,1.0,1.0,1.0,0.9999999999996667,0.0,0.9999999999996667
0.82444835,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8281647,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.83188105,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8355974,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8393138,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8430302,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.84674656,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8504629,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8541793,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8578957,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.861612,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.86532843,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8690448,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.87276113,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.87647754,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8801939,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.8839103,1.0,0.9333333333333333,0.9655172413793104,0.9333333333330223,0.0,0.9333333333330223
0.88762665,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.891343,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.8950594,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.89877576,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.9024921,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.9062085,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.90992486,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.9136412,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
0.9173576,1.0,0.8666666666666667,0.9285714285714286,0.8666666666663778,0.0,0.8666666666663778
