mean_shift,rho,tpr_mean,tpr_ci_lo,tpr_ci_hi,fpr_mean,fpr_ci_lo,fpr_ci_hi,precision_mean,f1_mean,f1_ci_lo,f1_ci_hi
0.1,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.1,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.1,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.1,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.1,0.09000000000000001,1.0,1.0,1.0,0.9970333419243494,0.9919999837875366,1.0,0.28632187939185366,0.4451789768758378,0.4444444444444444,0.4464285754674704
0.1,0.1,1.0,1.0,1.0,0.4806066660086314,0.43694999143481256,0.5299999713897705,0.45453438867754564,0.6249003979230319,0.601503772337715,0.6467525179296179
0.1,0.11000000000000001,1.0,1.0,1.0,0.0027466667622017362,0.0,0.00800000037997961,0.9932145682676409,0.9965871319405634,0.9900990094353744,1.0
0.1,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.1,0.13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.1,0.14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.1,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.1,0.16000000000000003,0.9996666669845581,0.9950000047683716,1.0,0.0,0.0,0.0,1.0,0.9998329157821327,0.9974937367319912,1.0
0.1,0.17000000000000004,0.9512999943892161,0.9173750191926956,0.9750000238418579,0.0,0.0,0.0,1.0,0.9749806585405258,0.9569054717153309,0.9873417843765333
0.1,0.18000000000000002,0.5129999985297521,0.44999998807907104,0.5876249760389327,0.0,0.0,0.0,1.0,0.6773536243596161,0.6206896438326478,0.7402535373291886
0.1,0.19000000000000003,0.05896666664319734,0.02500000037252903,0.09762500021606672,0.0,0.0,0.0,1.0,0.11084174708857136,0.048780488514035034,0.17787463712731452
0.1,0.20000000000000004,0.0006999999843537808,0.0,0.004999999888241291,0.0,0.0,0.0,0.12,0.0013910644486878673,0.0,0.00995024853492001
0.1,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.15,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.15,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.15,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.15,0.09000000000000001,1.0,1.0,1.0,0.9972800083955129,0.9919999837875366,1.0,0.2862712281746772,0.4451177792428024,0.4444444444444444,0.4464285754674704
0.15,0.1,1.0,1.0,1.0,0.4790866647164027,0.4359999895095825,0.5230500012636184,0.4552892083119355,0.6256223367408844,0.6046638109963671,0.6472491964319694
0.15,0.11000000000000001,1.0,1.0,1.0,0.0026333334234853586,0.0,0.00800000037997961,0.9934926347319117,0.9967274634651883,0.9900990094353744,1.0
0.15,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.16000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.18000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15,0.19000000000000003,0.9996166670322418,0.9950000047683716,1.0,0.0,0.0,0.0,1.0,0.9998077691876146,0.9974937367319912,1.0
0.15,0.20000000000000004,0.9660166680812836,0.9350000023841858,0.9900000095367432,0.0,0.0,0.0,1.0,0.982666853605914,0.9664082700073772,0.9949748791882747
0.15,0.21000000000000002,0.6205333326260248,0.5550000071525574,0.692624995112419,0.0,0.0,0.0,1.0,0.7652350555429568,0.7138263724755181,0.8184007925294692
0.15,0.22000000000000003,0.11696666659166416,0.07500000298023224,0.16500000655651093,0.0,0.0,0.0,1.0,0.20866993875933226,0.1395348888787145,0.28326181223674907
0.15,0.23000000000000004,0.003783333251873652,0.0,0.014999999664723873,0.0,0.0,0.0,0.5266666666666666,0.007497336565566558,0.0,0.029556649595425994
0.15,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.2,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.2,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.2,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.2,0.09000000000000001,1.0,1.0,1.0,0.9970933397610983,0.9919999837875366,1.0,0.28630968414195734,0.44516420877016516,0.4444444444444444,0.4464285754674704
0.2,0.1,1.0,1.0,1.0,0.47861999869346616,0.4309500090777874,0.5270500093698501,0.45559515513837257,0.6258917898719069,0.6028412249048183,0.6499049682846307
0.2,0.11000000000000001,1.0,1.0,1.0,0.0029400000954046845,0.0,0.00800000037997961,0.9927406375549818,0.9963478382792994,0.9900990094353744,1.0
0.2,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.16000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.18000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.20000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.22000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.2,0.23000000000000004,0.998066668510437,0.9900000095367432,1.0,0.0,0.0,0.0,1.0,0.9990299453407605,0.9949748791882747,1.0
0.2,0.24000000000000005,0.9254500017563502,0.8899999856948853,0.9576249808073043,0.0,0.0,0.0,1.0,0.9611902707685683,0.9417989337895832,0.9783522004362271
0.2,0.25000000000000006,0.4944999983906746,0.41999998688697815,0.5649999976158142,0.0,0.0,0.0,1.0,0.6609049551467974,0.5915492827682781,0.7220447264876149
0.2,0.26000000000000006,0.07358333330601453,0.03500000014901161,0.11500000208616257,0.0,0.0,0.0,1.0,0.13646473724610492,0.06763285051975376,0.2062780302618795
0.2,0.27,0.002099999953061342,0.0,0.009999999776482582,0.0,0.0,0.0,0.35,0.004171237559070728,0.0,0.01980197975979332
0.2,0.28,1.6666666294137637e-05,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,3.316749511640003e-05,0.0,0.0
0.2,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.3,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.3,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.3,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.3,0.09000000000000001,1.0,1.0,1.0,0.9970000078280766,0.9919999837875366,1.0,0.2863287156632369,0.4451872388676289,0.4444444444444444,0.4464285754674704
0.3,0.1,1.0,1.0,1.0,0.4791466653347015,0.43694999143481256,0.527999997138977,0.4552821817143295,0.6256085202344951,0.602409639852039,0.6467525179296179
0.3,0.11000000000000001,1.0,1.0,1.0,0.002580000094603747,0.0,0.00800000037997961,0.9936256024578355,0.9967940626680187,0.9900990094353744,1.0
0.3,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.16000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.18000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.20000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.22000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.23000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.24000000000000005,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.25000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.26000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.27,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.28,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.29000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.30000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.3,0.31000000000000005,0.9998333334922791,0.9950000047683716,1.0,0.0,0.0,0.0,1.0,0.9999164578910662,0.9974937367319912,1.0
0.3,0.32000000000000006,0.9834333455562592,0.9599999785423279,1.0,0.0,0.0,0.0,1.0,0.9916234889590161,0.9795918255634776,1.0
0.3,0.33000000000000007,0.7731833316882452,0.7099999785423279,0.8299999833106995,0.0,0.0,0.0,1.0,0.8717288178349192,0.8304093420487176,0.9071038151695776
0.3,0.3400000000000001,0.26143333181738854,0.20000000298023224,0.3326250106096267,0.0,0.0,0.0,1.0,0.4133955615023843,0.3333333374725448,0.4991974437404012
0.3,0.3500000000000001,0.022599999845648807,0.0023749999469146158,0.04500000178813934,0.0,0.0,0.0,0.9733333333333334,0.04397424990507572,0.00472636805408701,0.0861244051887811
0.3,0.36000000000000004,0.000366666658471028,0.0,0.004999999888241291,0.0,0.0,0.0,0.07,0.0007293565015273116,0.0,0.00995024853492001
0.3,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.4,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.4,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.4,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.4,0.09000000000000001,1.0,1.0,1.0,0.9972933419545491,0.9919999837875366,1.0,0.2862686049866547,0.4451145790143071,0.4444444444444444,0.4464285754674704
0.4,0.1,1.0,1.0,1.0,0.4796733329693476,0.4389499954879284,0.5220000147819519,0.4549879848168514,0.6253374082275163,0.6051437148674695,0.645708481169266
