tau,precision,recall,f1,tpr,fpr,youden_j
-0.3473791,0.5003061849357011,1.0,0.6669387755102041,0.9999999999998775,0.9987760097917994,0.001223990208078174
-0.33760068,0.5003061849357011,1.0,0.6669387755102041,0.9999999999998775,0.9987760097917994,0.001223990208078174
-0.32782227,0.5006127450980392,1.0,0.6672111065741119,0.9999999999998775,0.9975520195837212,0.002447980416156348
-0.31804386,0.5006127450980392,1.0,0.6672111065741119,0.9999999999998775,0.9975520195837212,0.002447980416156348
-0.30826545,0.5006127450980392,1.0,0.6672111065741119,0.9999999999998775,0.9975520195837212,0.002447980416156348
-0.29848707,0.5006127450980392,1.0,0.6672111065741119,0.9999999999998775,0.9975520195837212,0.002447980416156348
-0.28870866,0.5009196811771919,1.0,0.6674836601307189,0.9999999999998775,0.996328029375643,0.003671970624234522
-0.27893025,0.5012269938650307,1.0,0.6677564364527994,0.9999999999998775,0.9951040391675648,0.004895960832312696
-0.26915184,0.5018427518427518,1.0,0.6683026584867076,0.9999999999998775,0.9926560587514084,0.007343941248469155
-0.25937343,0.502460024600246,1.0,0.6688497748669668,0.9999999999998775,0.990208078335252,0.009791921664625503
-0.24959502,0.5027692307692307,1.0,0.6691236691236692,0.9999999999998775,0.9889840881271739,0.011015911872703676
-0.23981662,0.5036991368680641,1.0,0.6699466994669947,0.9999999999998775,0.9853121175029393,0.014687882496938198
-0.23003821,0.505256648113791,1.0,0.6713229252259655,0.9999999999998775,0.9791921664625484,0.02080783353732918
-0.2202598,0.5071384233395406,1.0,0.6729818780889621,0.9999999999998775,0.9718482252140793,0.028151774785798223
-0.2104814,0.5077688004972032,1.0,0.6735366859027205,0.9999999999998775,0.9694002447979229,0.03059975520195468
-0.200703,0.5099875156054932,1.0,0.6754857379082265,0.9999999999998775,0.9608323133413756,0.0391676866585019
-0.19092458,0.5122257053291536,1.0,0.6774461028192371,0.9999999999998775,0.9522643818848283,0.04773561811504923
-0.18114617,0.513530522341095,0.9987760097919217,0.6783042394014963,0.9987760097917994,0.9461444308444373,0.052631578947362034
-0.17136776,0.5158227848101266,0.9975520195838433,0.6800166875260742,0.9975520195837212,0.9363525091798119,0.06119951040390925
-0.16158937,0.5194391332058637,0.9975520195838433,0.683151718357083,0.9975520195837212,0.9228886168909518,0.07466340269276939
-0.15181096,0.5231065468549422,0.9975520195838433,0.6863157894736842,0.9975520195837212,0.9094247246020918,0.08812729498162941
-0.14203255,0.5268261150614092,0.9975520195838433,0.6895093062605753,0.9975520195837212,0.8959608323132318,0.10159118727048944
-0.13225415,0.5285343709468223,0.9975520195838433,0.6909707503179313,0.9975520195837212,0.8898408812728409,0.1077111383108803
-0.12247574,0.5305989583333334,0.9975520195838433,0.6927326816829579,0.9975520195837212,0.8824969400243717,0.11505507955934946
-0.11269733,0.5358788676761027,0.996328029375765,0.696917808219178,0.996328029375643,0.8629130966951207,0.1334149326805223
-0.10291892,0.5401459854014599,0.996328029375765,0.7005163511187608,0.996328029375643,0.8482252141981825,0.1481028151774605
-0.09314051,0.5419440745672437,0.996328029375765,0.7020267356619232,0.996328029375643,0.8421052631577917,0.15422276621785136
-0.0833621,0.5452109845947756,0.996328029375765,0.7047619047619048,0.996328029375643,0.831089351285088,0.16523867809055504
-0.07358372,0.5474108944182918,0.996328029375765,0.7065972222222222,0.996328029375643,0.8237454100366188,0.1725826193390242
-0.06380531,0.55,0.996328029375765,0.7087505441880714,0.996328029375643,0.8151774785800715,0.18115055079557152
-0.0540269,0.550744248985115,0.996328029375765,0.7093681917211329,0.996328029375643,0.8127294981639152,0.18359853121172787
-0.04424849,0.5533650577838205,0.996328029375765,0.7115384615384616,0.996328029375643,0.8041615667073678,0.1921664626682752
-0.03447008,0.5556313993174061,0.996328029375765,0.7134092900964066,0.996328029375643,0.7968176254588988,0.19951040391674424
-0.024691671,0.5556313993174061,0.996328029375765,0.7134092900964066,0.996328029375643,0.7968176254588988,0.19951040391674424
-0.014913261,0.5575342465753425,0.996328029375765,0.714975845410628,0.996328029375643,0.7906976744185078,0.20563035495713522
-0.0051348507,0.5594501718213059,0.996328029375765,0.7165492957746479,0.996328029375643,0.7845777233781169,0.2117503059975261
0.0046435595,0.5613793103448276,0.996328029375765,0.7181296868107632,0.996328029375643,0.778457772337726,0.21787025703791707
0.01442194,0.5629322268326418,0.996328029375765,0.7193990278391516,0.996328029375643,0.7735618115054133,0.22276621787022977
